"DiamondLogId";"UniqueUserId";"DiamondTotal";"PaymentType";"DiamondUsage";"UsageDate"
"f208d730-76ed-4079-bca7-6889fd4e66a2";"128";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum STG a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-10-29 02:41:35"
"f37f2496-9578-4317-8b63-ca5e4bf47b5c";"127";"5";"topup";NULL;"2019-10-13 04:33:13"
"f3d73ffb-4c8b-4f3a-bb16-3202dc01b3ec";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-23 04:18:33"
"f41e7db9-2c08-4606-be3a-d07e9c274ed4";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 10:03:13"
"f428dfb7-1cb9-4581-808b-9ac752079bc7";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 10:34:43"
"f4a33f5b-9de7-4829-8861-e97641c1e482";"127";"5";"charge";"Video Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-11-27 08:12:15"
"f4c0e920-7fcf-4d16-9360-dab9194241e9";"127";"5";"charge";"Aptitude test reservation";"2019-12-03 05:32:39"
"f4e4b5a6-f8ae-477c-8874-2d8ad068ed6a";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-29 06:17:52"
"f520e30d-0f64-4619-9ad2-3c6317b0b0bb";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 10:26:51"
"f669d881-b3bd-48a5-911f-aeb2f4cf6d49";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 13:34:57"
"f67d6394-fa77-42c5-9b63-c1f446c72a50";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-29 07:39:54"
"f6823d2b-24c7-4054-b698-982682dafaf3";"129";"5";"topup";NULL;"2019-10-12 12:13:33"
"f6cca60c-bcf6-4c4c-8244-34cbbf53698a";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 03:38:16"
"f7260dc2-7dbb-49e0-8af9-97bb94d26246";"104";"5";"charge";"Full Tryout Registration: TEST TryOut UTBK 2020 #2 - Saintek STG 3910cbc4-ecd6-477c-b158-bd3064d3451a";"2020-01-03 09:22:06"
"f7699c54-dd9d-461d-b2b8-521c4518d20c";"135";"5";"charge";"Aptitude test reservation";"2019-11-29 03:51:05"
"f8f053a6-7313-4c36-aded-b8bc8e044524";"22";"5";"topup";NULL;"2019-10-13 03:10:30"
"f977543d-674f-40fc-9296-0e6b6999d2bf";"21";"5";"topup";NULL;"2019-10-13 03:10:30"
"f9a8b1b0-e345-466d-b478-9bfc12d49643";"123";"5";"topup";NULL;"2019-10-24 10:29:27"
"fa95249c-5f9f-405a-ade3-8a937dd7a649";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-22 04:00:29"
"fa959dfc-9640-4a79-9883-dacb99b983bf";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 04:03:04"
"fb695093-5aa7-42f4-8c39-8af706b4a8bc";"97";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-09 03:14:35"
"fbe8bd3a-40cc-49c9-9f2e-82a18d659388";"43";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-14 20:33:44"
"fc23e48a-af38-4f9e-90c0-d8dc66920ced";"150";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-19 08:06:22"
"fc3018e0-ec34-47f3-82f7-0322bfc71f74";"43";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-14 19:21:21"
"fc5243d0-5a31-4249-8e50-48657b161a6f";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 03:04:16"
"fdae3e0f-690d-4072-b5f1-e7e1d4091221";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:36:21"
